ticker,company_name,sector
SBRA,SABRA HEALTH CARE REIT INC,Real Estate
YOU,CLEAR SECURE INC CLASS A,Information Technology
OGS,ONE GAS INC,Utilities
SIGI,SELECTIVE INSURANCE GROUP INC,Financials
RDN,RADIAN GROUP INC,Financials
NUVL,NUVALENT INC CLASS A,Health Care
PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate
MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy
RYTM,RHYTHM PHARMACEUTICALS INC,Health Care
PTCT,PTC THERAPEUTICS INC,Health Care
KNF,KNIFE RIVER CORP,Materials
HOMB,HOME BANCSHARES INC,Financials
IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary
KLIC,KULICKE AND SOFFA INDUSTRIES INC,Information Technology
LBRT,LIBERTY ENERGY INC CLASS A,Energy
SR,SPIRE INC,Utilities
LGN,LEGENCE CORP CLASS A,Industrials
SXT,SENSIENT TECHNOLOGIES CORP,Materials
COGT,COGENT BIOSCIENCES INC,Health Care
CNX,CNX RESOURCES CORP,Energy
INDV,INDIVIOR PHARMACEUTICALS INC,Health Care
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology
FTDR,FRONTDOOR INC,Consumer Discretionary
NOVT,NOVANTA INC,Information Technology
ACIW,ACI WORLDWIDE INC,Information Technology
UFPI,UFP INDUSTRIES INC,Industrials
OUT,OUTFRONT MEDIA INC,Real Estate
USAR,USA RARE EARTH INC CLASS A,Materials
LTH,LIFE TIME GROUP HOLDINGS INC,Consumer Discretionary
KYMR,KYMERA THERAPEUTICS INC,Health Care
XENE,XENON PHARMACEUTICALS INC,Health Care
MARA,MARA HOLDINGS INC,Information Technology
ASB,ASSOCIATED BANCORP,Financials
GTX,GARRETT MOTION INC,Consumer Discretionary
CRSP,CRISPR THERAPEUTICS AG,Health Care
MRCY,MERCURY SYSTEMS INC,Industrials
AX,AXOS FINANCIAL INC,Financials
MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities
AIR,AAR CORP,Industrials
URBN,URBAN OUTFITTERS INC,Consumer Discretionary
CELC,CELCUITY INC,Health Care
HCC,WARRIOR MET COAL INC,Materials
CVLT,COMMVAULT SYSTEMS INC,Information Technology
TDS,TELEPHONE AND DATA SYSTEMS INC,Communication
CSTM,CONSTELLIUM SE CLASS A,Materials
CNR,CORE NATURAL RESOURCES INC,Energy
ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials
BCO,BRINKS,Industrials
CRC,CALIFORNIA RESOURCES CORP,Energy
NWE,NORTHWESTERN ENERGY GROUP INC,Utilities
TCBI,TEXAS CAPITAL BANCSHARES INC,Financials
CSW,CSW INDUSTRIALS INC,Industrials
CNO,CNO FINANCIAL GROUP INC,Financials
BDC,BELDEN INC,Information Technology
RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials
MIRM,MIRUM PHARMACEUTICALS INC,Health Care
MTH,MERITAGE CORP,Consumer Discretionary
EBC,EASTERN BANKSHARES INC,Financials
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials
FLG,FLAGSTAR BANK NATIONAL ASSOCIATION,Financials
HRI,HERC HOLDINGS INC,Industrials
KTB,KONTOOR BRANDS INC,Consumer Discretionary
AZZ,AZZ INC,Industrials
PI,IMPINJ INC,Information Technology
CBT,CABOT CORP,Materials
CRNX,CRINETICS PHARMACEUTICALS INC,Health Care
OSCR,OSCAR HEALTH INC CLASS A,Financials
MWA,MUELLER WATER PRODUCTS INC SERIES,Industrials
SKT,TANGER INC,Real Estate
PLUG,PLUG POWER INC,Industrials
FULT,FULTON FINANCIAL CORP,Financials
UCB,UNITED COMMUNITY BANKS INC,Financials
ENVA,ENOVA INTERNATIONAL INC,Financials
SYNA,SYNAPTICS INC,Information Technology
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary
BGC,BGC GROUP INC CLASS A,Financials
CGON,CG ONCOLOGY INC,Health Care
PRM,PERIMETER SOLUTIONS INC,Materials
SKY,CHAMPION HOMES INC,Consumer Discretionary
SFBS,SERVISFIRST BANCSHARES INC,Financials
LAUR,LAUREATE EDUCATION INC,Consumer Discretionary
GSAT,GLOBALSTAR VOTING INC,Communication
LGND,LIGAND PHARMACEUTICALS INC,Health Care
SRRK,SCHOLAR ROCK HOLDING CORP,Health Care
IBOC,INTERNATIONAL BANCSHARES CORP,Financials
PSMT,PRICESMART INC,Consumer Staples
KAI,KADANT INC,Industrials
CVSA,COVISTA INC,Consumer Discretionary
MC,MOELIS CLASS A,Financials
TPH,TRI POINTE HOMES INC,Consumer Discretionary
IRTC,IRHYTHM HOLDINGS INC,Health Care
OPLN,OPENLANE INC,Industrials
VSH,VISHAY INTERTECHNOLOGY INC,Information Technology
POWI,POWER INTEGRATIONS INC,Information Technology
IRT,INDEPENDENCE REALTY INC,Real Estate
PTEN,PATTERSON UTI ENERGY INC,Energy
MTRN,MATERION CORP,Materials
RDNT,RADNET INC,Health Care
INDB,INDEPENDENT BANK CORP,Financials
DAN,DANA INCORPORATED INC,Consumer Discretionary
WSFS,WSFS FINANCIAL CORP,Financials
RELY,REMITLY GLOBAL INC,Financials
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary
FELE,FRANKLIN ELECTRIC INC,Industrials
LIVN,LIVANOVA PLC,Health Care
LRN,STRIDE INC,Consumer Discretionary
WHD,CACTUS INC CLASS A,Energy
RNST,RENASANT CORP,Financials
STNG,SCORPIO TANKERS INC,Energy
TDW,TIDEWATER INC,Energy
ACHR,ARCHER AVIATION INC CLASS A,Industrials
STEP,STEPSTONE GROUP INC CLASS A,Financials
BNL,BROADSTONE NET LEASE INC,Real Estate
OSIS,OSI SYSTEMS INC,Information Technology
VCTR,VICTORY CAPITAL HOLDINGS CLASS A I,Financials
RXO,RXO INC,Industrials
FBP,FIRST BANCORP,Financials
UNF,UNIFIRST CORP,Industrials
CVCO,CAVCO INDUSTRIES INC,Consumer Discretionary
SOUN,SOUNDHOUND AI INC CLASS A,Information Technology
SPHR,SPHERE ENTERTAINMENT CLASS A,Communication
CATY,CATHAY GENERAL BANCORP,Financials
GNW,GENWORTH FINANCIAL INC,Financials
ITRI,ITRON INC,Information Technology
TPC,TUTOR PERINI CORP,Industrials
CDP,COPT DEFENSE PROPERTIES,Real Estate
HP,HELMERICH & PAYNE INC,Energy
MMS,MAXIMUS INC,Industrials
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary
ZETA,ZETA GLOBAL HOLDINGS CORP CLASS A,Information Technology
APGE,APOGEE THERAPEUTICS INC,Health Care
MMSI,MERIT MEDICAL SYSTEMS INC,Health Care
BMI,BADGER METER INC,Information Technology
INSW,INTERNATIONAL SEAWAYS INC,Energy
OII,OCEANEERING INTERNATIONAL INC,Energy
BOX,BOX INC CLASS A,Information Technology
CPRX,CATALYST PHARMACEUTICALS INC,Health Care
PII,POLARIS INC,Consumer Discretionary
UCTT,ULTRA CLEAN HOLDINGS INC,Information Technology
SKYW,SKYWEST INC,Industrials
ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary
ASO,ACADEMY SPORTS AND OUTDOORS INC,Consumer Discretionary
ALHC,ALIGNMENT HEALTHCARE INC,Health Care
TWST,TWIST BIOSCIENCE CORP,Health Care
BKU,BANKUNITED INC,Financials
CLSK,CLEANSPARK INC,Information Technology
PJT,PJT PARTNERS INC CLASS A,Financials
KFY,KORN FERRY,Industrials
NHI,NATIONAL HEALTH INVESTORS REIT INC,Real Estate
TVTX,TRAVERE THERAPEUTICS INC,Health Care
CVBF,CVB FINANCIAL CORP,Financials
SIG,SIGNET JEWELERS LTD,Consumer Discretionary
GFF,GRIFFON CORP,Industrials
LEU,CENTRUS ENERGY CORP CLASS A,Energy
XMTR,XOMETRY INC CLASS A,Industrials
CENX,CENTURY ALUMINUM,Materials
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary
VECO,VEECO INSTRUMENTS INC,Information Technology
DORM,DORMAN PRODUCTS INC,Consumer Discretionary
QLYS,QUALYS INC,Information Technology
MHO,M I HOMES INC,Consumer Discretionary
PBF,PBF ENERGY INC CLASS A,Energy
OTTR,OTTER TAIL CORP,Utilities
SEI,SOLARIS OILFIELD INFRASTRUCTURE IN,Energy
CC,CHEMOURS,Materials
LMND,LEMONADE INC,Financials
AVNT,AVIENT CORP,Materials
AVA,AVISTA CORP,Utilities
VRNS,VARONIS SYSTEMS INC,Information Technology
CBU,COMMUNITY FINANCIAL SYSTEM INC,Financials
FFBC,FIRST FINANCIAL BANCORP,Financials
FUL,HB FULLER,Materials
OPCH,OPTION CARE HEALTH INC,Health Care
CALM,CAL MAINE FOODS INC,Consumer Staples
VSCO,VICTORIA S SECRET,Consumer Discretionary
NATL,NCR ATLEOS CORP,Financials
SLG,SL GREEN REALTY REIT CORP,Real Estate
HWKN,HAWKINS INC,Materials
COCO,THE VITA COCO COMPANY INC,Consumer Staples
WSBC,WESBANCO INC,Financials
SXI,STANDEX INTERNATIONAL CORP,Industrials
NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology
CRGY,CRESCENT ENERGY CLASS A,Energy
APLE,APPLE HOSPITALITY REIT INC,Real Estate
FIBK,FIRST INTERSTATE BANCSYSTEM INC,Financials
VCYT,VERACYTE INC,Health Care
KMT,KENNAMETAL INC,Industrials
BOH,BANK OF HAWAII CORP,Financials
QTWO,Q2 HOLDINGS INC,Information Technology
BKD,BROOKDALE SENIOR LIVING INC,Health Care
EXPO,EXPONENT INC,Industrials
LASR,NLIGHT INC,Information Technology
EXTR,EXTREME NETWORKS INC,Information Technology
RUN,SUNRUN INC,Industrials
VC,VISTEON CORP,Consumer Discretionary
PATK,PATRICK INDUSTRIES INC,Consumer Discretionary
PARR,PAR PACIFIC HOLDINGS INC,Energy
DNTH,DIANTHUS THERAPEUTICS INC,Health Care
AMBA,AMBARELLA INC,Information Technology
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials
BELFB,BEL FUSE INC CLASS B,Information Technology
LXP,LXP INDUSTRIAL TRUST,Real Estate
ACMR,ACM RESEARCH CLASS A INC,Information Technology
KBH,KB HOME,Consumer Discretionary
ITGR,INTEGER HOLDINGS CORP,Health Care
CARG,CARGURUS INC CLASS A,Communication
BEAM,BEAM THERAPEUTICS INC,Health Care
SFNC,SIMMONS FIRST NATIONAL CORP CLASS,Financials
UNFI,UNITED NATURAL FOODS INC,Consumer Staples
ADEA,ADEIA INC,Information Technology
PHIN,PHINIA INC,Consumer Discretionary
SDRL,SEADRILL LTD,Energy
NMIH,NMI HOLDINGS INC,Financials
PLMR,PALOMAR HOLDINGS INC,Financials
BHE,BENCHMARK ELECTRONICS INC,Information Technology
ICUI,ICU MEDICAL INC,Health Care
CPK,CHESAPEAKE UTILITIES CORP,Utilities
AWR,AMERICAN STATES WATER,Utilities
CTRI,CENTURI HOLDINGS INC,Industrials
HGV,HILTON GRAND VACATIONS INC,Consumer Discretionary
TRN,TRINITY INDUSTRIES INC,Industrials
BTU,PEABODY ENERGY CORP,Energy
SBCF,SEACOAST BANKING OF FLORIDA,Financials
CHEF,CHEFS WAREHOUSE INC,Consumer Staples
AKR,ACADIA REALTY TRUST REIT,Real Estate
TOWN,TOWNEBANK,Financials
CNK,CINEMARK HOLDINGS INC,Communication
ORKA,ORUKA THERAPEUTICS INC,Health Care
KN,KNOWLES CORP,Information Technology
SUPN,SUPERNUS PHARMACEUTICALS INC,Health Care
PLAB,PHOTRONICS INC,Information Technology
MRX,MAREX GROUP PLC,Financials
GPOR,GULFPORT ENERGY CORP,Energy
SHOO,STEVEN MADDEN LTD,Consumer Discretionary
KALU,KAISER ALUMINIUM CORP,Materials
GEO,GEO GROUP INC,Industrials
PFS,PROVIDENT FINANCIAL SERVICES INC,Financials
ACAD,ACADIA PHARMACEUTICALS INC,Health Care
UE,URBAN EDGE PROPERTIES,Real Estate
WDFC,WD-40,Consumer Staples
CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary
DBRG,DIGITALBRIDGE GROUP INC CLASS A,Financials
DNLI,DENALI THERAPEUTICS INC,Health Care
MGRC,MCGRATH RENT,Industrials
STNE,STONECO LTD CLASS A,Financials
PRVA,PRIVIA HEALTH GROUP INC,Health Care
WAFD,WAFD INC,Financials
LQDA,LIQUIDIA CORP,Health Care
FSLY,FASTLY INC CLASS A,Information Technology
LCII,LCI INDUSTRIES,Consumer Discretionary
NTCT,NETSCOUT SYSTEMS INC,Information Technology
MGEE,MGE ENERGY INC,Utilities
ARCB,ARCBEST CORP,Industrials
CON,CONCENTRA GROUP HOLDINGS PARENT IN,Health Care
BCC,BOISE CASCADE,Industrials
WRBY,WARBY PARKER INC CLASS A,Consumer Discretionary
NIC,NICOLET BANKSHARES INC,Financials
FCPT,FOUR CORNERS PROPERTY INC TRUST,Real Estate
SHAK,SHAKE SHACK INC CLASS A,Consumer Discretionary
CURB,CURBLINE PROPERTIES,Real Estate
AEHR,AEHR TEST SYSTEMS,Information Technology
LUNR,INTUITIVE MACHINES INC CLASS A,Industrials
MCY,MERCURY GENERAL CORP,Financials
NGVT,INGEVITY CORP,Materials
DX,DYNEX CAPITAL REIT INC,Financials
SLNO,SOLENO THERAPEUTICS INC,Health Care
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary
MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication
WK,WORKIVA INC CLASS A,Information Technology
DK,DELEK US HOLDINGS INC,Energy
RRR,RED ROCK RESORTS ORS CLASS A INC,Consumer Discretionary
CALX,CALIX NETWORKS INC,Information Technology
PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care
TNGX,TANGO THERAPEUTICS INC,Health Care
CWT,CALIFORNIA WATER SERVICE GROUP,Utilities
VISN,VISTANCE NETWORKS INC,Information Technology
DAVE,DAVE INC CLASS A,Financials
PFSI,PENNYMAC FINANCIAL SERVICES INC,Financials
HUBG,HUB GROUP INC CLASS A,Industrials
PRK,PARK NATIONAL CORP,Financials
NMRK,NEWMARK GROUP INC CLASS A,Real Estate
BANC,BANC OF CALIFORNIA INC,Financials
DHT,DHT HOLDINGS INC,Energy
RSI,RUSH STREET INTERACTIVE INC CLASS,Consumer Discretionary
HAE,HAEMONETICS CORP,Health Care
TENB,TENABLE HOLDINGS INC,Information Technology
IVT,INVENTRUST PROPERTIES CORP,Real Estate
FRME,FIRST MERCHANTS CORP,Financials
CUBI,CUSTOMERS BANCORP INC,Financials
LION,LIONSGATE STUDIOS CORP,Communication
TARS,TARSUS PHARMACEUTICALS INC,Health Care
OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities
TXG,10X GENOMICS INC CLASS A,Health Care
CLDX,CELLDEX THERAPEUTICS INC,Health Care
UPST,UPSTART HOLDINGS INC,Financials
ATKR,ATKORE INC,Industrials
TRMK,TRUSTMARK CORP,Financials
TBBK,BANCORP INC,Financials
JOE,ST JOE,Real Estate
BBT,BEACON FINANCIAL CORP,Financials
PPTA,PERPETUA RESOURCES CORP,Materials
ROG,ROGERS CORP,Information Technology
ABM,ABM INDUSTRIES INC,Industrials
GOLF,ACUSHNET HOLDINGS CORP,Consumer Discretionary
AMSC,AMERICAN SUPERCONDUCTOR CORP,Industrials
TMDX,TRANSMEDICS GROUP INC,Health Care
ATRO,ASTRONICS CORP,Industrials
MTX,MINERALS TECHNOLOGIES INC,Materials
HNI,HNI CORP,Industrials
ICHR,ICHOR HOLDINGS LTD,Information Technology
DNOW,DNOW INC,Industrials
EWTX,EDGEWISE THERAPEUTICS INC,Health Care
CECO,CECO ENVIRONMENTAL CORP,Industrials
APAM,ARTISAN PARTNERS ASSET MANAGEMENT,Financials
CLMT,CALUMET INC,Energy
FBNC,FIRST BANCORP,Financials
NG,NOVAGOLD RESOURCES INC,Materials
IDYA,IDEAYA BIOSCIENCES INC,Health Care
NTB,BANK OF NT BUTTERFIELD & SON LTD,Financials
VRRM,VERRA MOBILITY CORP CLASS A,Industrials
BANF,BANCFIRST CORP,Financials
FBK,FB FINANCIAL CORP,Financials
DYN,DYNE THERAPEUTICS INC,Health Care
PLUS,EPLUS,Information Technology
MZTI,MARZETTI,Consumer Staples
WAY,WAYSTAR HOLDING CORP,Health Care
WT,WISDOMTREE INC,Financials
NBTB,NBT BANCORP INC,Financials
ANDE,ANDERSONS INC,Consumer Staples
DGII,DIGI INTERNATIONAL INC,Information Technology
BATRK,ATLANTA BRAVES HOLDINGS INC SERIES,Communication
GPGI,GPGI INC CLASS A,Information Technology
BANR,BANNER CORP,Financials
NOG,NORTHERN OIL AND GAS INC,Energy
PRDO,PERDOCEO EDUCATION CORP,Consumer Discretionary
IBRX,IMMUNITYBIO INC,Health Care
DFTX,DEFINIUM THERAPEUTICS INC,Health Care
CSGS,CSG SYSTEMS INTERNATIONAL INC,Industrials
ARQT,ARCUTIS BIOTHERAPEUTICS INC,Health Care
CXW,CORECIVIC REIT INC,Industrials
IMNM,IMMUNOME INC,Health Care
HLIO,HELIOS TECHNOLOGIES INC,Industrials
ALRM,ALARM.COM HOLDINGS INC,Information Technology
BLBD,BLUE BIRD CORP,Industrials
LMAT,LEMAITRE VASCULAR INC,Health Care
BUSE,FIRST BUSEY CORP,Financials
PTON,PELOTON INTERACTIVE CLASS A INC,Consumer Discretionary
KNTK,KINETIK HOLDINGS INC CLASS A,Energy
AMR,ALPHA METALLURGICAL RESOURCE INC,Materials
DRH,DIAMONDROCK HOSPITALITY,Real Estate
IMVT,IMMUNOVANT INC,Health Care
GRAL,GRAIL INC,Health Care
VERA,VERA THERAPEUTICS INC CLASS A,Health Care
EFSC,ENTERPRISE FINANCIAL SERVICES CORP,Financials
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care
CPRI,CAPRI HOLDINGS LTD,Consumer Discretionary
COHU,COHU INC,Information Technology
FUN,SIX FLAGS ENTERTAINMENT CORP,Consumer Discretionary
SPSC,SPS COMMERCE INC,Information Technology
NHC,NATIONAL HEALTHCARE CORP,Health Care
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Consumer Discretionary
HURN,HURON CONSULTING GROUP INC,Industrials
THR,THERMON GROUP HOLDINGS INC,Industrials
WERN,WERNER ENTERPRISES INC,Industrials
FLYW,FLYWIRE CORP,Financials
AXGN,AXOGEN INC,Health Care
STC,STEWART INFO SERVICES CORP,Financials
NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities
NSIT,INSIGHT ENTERPRISES INC,Information Technology
PENG,PENGUIN SOLUTIONS INC,Information Technology
RCUS,ARCUS BIOSCIENCES INC,Health Care
SGHC,SUPER GROUP LTD,Consumer Discretionary
AMRX,AMNEAL PHARMACEUTICALS INC CLASS A,Health Care
OFG,OFG BANCORP,Financials
GRBK,GREEN BRICK PARTNERS INC,Consumer Discretionary
TIC,TIC SOLUTIONS INC,Industrials
NEOG,NEOGEN CORP,Health Care
BCRX,BIOCRYST PHARMACEUTICALS INC,Health Care
BULL,WEBULL CORP CLASS A,Financials
CASH,PATHWARD FINANCIAL INC,Financials
BWIN,BALDWIN INSURANCE GROUP INC CLASS,Financials
SMR,NUSCALE POWER CORP CLASS A,Industrials
VVX,V2X INC,Industrials
NWBI,NORTHWEST BANCSHARES INC,Financials
ARR,ARMOUR RESIDENTIAL REIT INC,Financials
BRZE,BRAZE INC CLASS A,Information Technology
MGNI,MAGNITE INC,Communication
CNS,COHEN & STEERS INC,Financials
CWK,CUSHMAN AND WAKEFIELD LTD,Real Estate
ERAS,ERASCA INC,Health Care
KWR,QUAKER HOUGHTON CORP,Materials
ATEN,A10 NETWORKS INC,Information Technology
BFH,BREAD FINANCIAL HOLDINGS INC,Financials
EOSE,EOS ENERGY ENTERPRISES INC CLASS A,Industrials
MD,PEDIATRIX MEDICAL GROUP INC,Health Care
ADMA,ADMA BIOLOGICS INC,Health Care
DBD,DIEBOLD NIXDORF INC,Information Technology
TNK,TEEKAY TANKERS LTD CLASS A,Energy
DXPE,DXP ENTERPRISES INC,Industrials
QUBT,QUANTUM COMPUTING INC,Information Technology
CALY,CALLAWAY GOLF COMPANY,Consumer Discretionary
SPNT,SIRIUSPOINT LTD,Financials
LC,LENDINGCLUB CORP,Financials
OMCL,OMNICELL INC,Health Care
HMN,HORACE MANN EDUCATORS CORP,Financials
SHO,SUNSTONE HOTEL INVESTORS REIT INC,Real Estate
TALO,TALOS ENERGY INC,Energy
DCO,DUCOMMUN INC,Industrials
FCF,FIRST COMMONWEALTH FINANCIAL CORP,Financials
HTO,H2O AMERICA,Utilities
GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary
IOSP,INNOSPEC INC,Materials
RAMP,LIVERAMP HOLDINGS INC,Information Technology
SYBT,STOCK YARDS BANCORP INC,Financials
FRSH,FRESHWORKS INC CLASS A,Information Technology
AGYS,AGILYSYS INC,Information Technology
EPAC,ENERPAC TOOL GROUP CORP CLASS A,Industrials
UNIT,UNITI GROUP INC,Communication
AMPX,AMPRIUS TECHNOLOGIES INC,Industrials
IRON,DISC MEDICINE INC,Health Care
NN,NEXTNAV INC,Information Technology
NNI,NELNET INC CLASS A,Financials
PAGS,PAGSEGURO DIGITAL LTD CLASS A,Financials
SMA,SMARTSTOP SELF STORAGE REIT INC,Real Estate
STRA,STRATEGIC EDUCATION INC,Consumer Discretionary
